rank,start_s,end_s,duration_s,similarity
619,548.18,548.185,0.005,0.8944
620,151.195,151.23,0.035,0.8944
621,75.04,75.045,0.005,0.8944
622,577.305,577.37,0.065,0.8944
623,666.2,666.205,0.005,0.8944
624,52.585,52.59,0.005,0.8943
625,504.855,504.89,0.035,0.8943
626,203.935,203.94,0.005,0.8943
627,106.125,106.18,0.055,0.8942
628,128.155,128.16,0.005,0.894
629,174.68,174.715,0.035,0.894
630,139.875,139.88,0.005,0.894
631,156.335,156.36,0.025,0.8939
632,23.9,23.905,0.005,0.8939
633,580.46,580.465,0.005,0.8939
634,685.14,685.145,0.005,0.8939
635,677.81,677.815,0.005,0.8938
636,986.69,986.695,0.005,0.8938
637,900.575,900.63,0.055,0.8937
638,681.165,681.23,0.065,0.8937
639,908.355,908.36,0.005,0.8936
640,77.295,77.3,0.005,0.8935
641,937.8,937.855,0.055,0.8934
642,286.41,286.415,0.005,0.8934
643,527.35,527.405,0.055,0.8934
644,730.645,730.65,0.005,0.8934
645,844.785,844.79,0.005,0.8933
646,164.23,164.255,0.025,0.8933
647,680.405,680.41,0.005,0.8933
648,921.34,921.35,0.01,0.8932
649,155.315,155.32,0.005,0.8931
650,73.51,73.525,0.015,0.8931
651,944.135,944.14,0.005,0.8931
652,104.735,104.82,0.085,0.893
653,50.615,50.66,0.045,0.893
654,49.115,49.2,0.085,0.893
655,500.03,500.085,0.055,0.893
656,591.825,591.83,0.005,0.8929
657,352.345,352.395,0.05,0.8929
658,136.6,136.665,0.065,0.8929
659,240.04,240.045,0.005,0.8928
660,121.875,121.88,0.005,0.8927
661,177.625,177.71,0.085,0.8927
662,53.205,53.22,0.015,0.8927
663,907.975,907.98,0.005,0.8926
664,441.7,441.705,0.005,0.8925
665,183.935,183.94,0.005,0.8925
666,516.995,517.0,0.005,0.8925
667,42.88,42.885,0.005,0.8925
668,658.675,658.69,0.015,0.8925
669,74.42,74.425,0.005,0.8924
670,531.47,531.475,0.005,0.8924
671,665.68,665.685,0.005,0.8924
672,503.105,503.11,0.005,0.8923
673,697.85,697.855,0.005,0.8923
674,1275.185,1275.195,0.01,0.8922
675,248.23,248.245,0.015,0.8921
676,548.28,548.285,0.005,0.8921
677,44.185,44.19,0.005,0.8921
678,179.935,179.94,0.005,0.892
679,1202.44,1202.455,0.015,0.892
680,654.235,654.24,0.005,0.892
681,90.945,90.95,0.005,0.8919
682,538.38,538.385,0.005,0.8919
683,879.195,879.2,0.005,0.8919
684,354.745,354.75,0.005,0.8918
685,628.73,628.735,0.005,0.8918
686,120.505,120.51,0.005,0.8918
687,64.17,64.175,0.005,0.8917
688,77.135,77.14,0.005,0.8917
689,934.065,934.07,0.005,0.8917
690,16.61,16.625,0.015,0.8916
691,919.645,919.68,0.035,0.8916
692,661.22,661.225,0.005,0.8916
693,558.345,558.36,0.015,0.8916
694,298.425,298.43,0.005,0.8916
695,674.945,674.95,0.005,0.8916
696,48.365,48.37,0.005,0.8915
697,175.36,175.375,0.015,0.8915
698,677.92,677.955,0.035,0.8915
699,433.985,434.05,0.065,0.8915
700,1186.85,1186.855,0.005,0.8914
701,170.49,170.5,0.01,0.8914
702,895.15,895.155,0.005,0.8914
703,638.385,638.39,0.005,0.8913
704,213.385,213.41,0.025,0.8913
705,329.05,329.055,0.005,0.8913
706,41.24,41.245,0.005,0.8913
707,653.125,653.13,0.005,0.8912
708,533.635,533.64,0.005,0.8912
709,273.425,273.485,0.06,0.8912
710,1200.015,1200.08,0.065,0.8912
711,167.47,167.475,0.005,0.8912
712,354.965,354.97,0.005,0.8911
713,85.69,85.695,0.005,0.8911
714,212.525,212.53,0.005,0.891
715,649.76,649.765,0.005,0.891
716,502.785,502.79,0.005,0.891
717,160.755,160.76,0.005,0.891
718,101.1,101.105,0.005,0.8909
719,713.78,713.785,0.005,0.8909
720,559.475,559.49,0.015,0.8909
721,900.745,900.75,0.005,0.8909
722,421.185,421.24,0.055,0.8908
723,644.675,644.685,0.01,0.8908
724,277.7,277.71,0.01,0.8908
725,1182.02,1182.025,0.005,0.8907
726,697.73,697.735,0.005,0.8907
727,561.85,561.915,0.065,0.8907
728,51.355,51.36,0.005,0.8907
729,917.865,917.87,0.005,0.8907
730,49.385,49.39,0.005,0.8906
